surface	status	artifact
orchestrator	BLOCKED_ENV_SCREEN_CAPTURE	orchestrator-macos-content.png (preserved)
current	BLOCKED_ENV_SCREEN_CAPTURE	current-macos-content.png (preserved)
missions	BLOCKED_ENV_SCREEN_CAPTURE	missions-macos-content.png (preserved)
channels	BLOCKED_ENV_SCREEN_CAPTURE	channels-macos-content.png (preserved)
relationships	BLOCKED_ENV_SCREEN_CAPTURE	relationships-macos-content.png (preserved)
partners	BLOCKED_ENV_SCREEN_CAPTURE	partners-macos-content.png (preserved)
connections	BLOCKED_ENV_SCREEN_CAPTURE	connections-macos-content.png (preserved)
outcomes	BLOCKED_ENV_SCREEN_CAPTURE	outcomes-macos-content.png (preserved)
capability-evidence	BLOCKED_ENV_SCREEN_CAPTURE	capability-evidence-macos-content.png (preserved)
settings	BLOCKED_ENV_SCREEN_CAPTURE	settings-macos-content.png (preserved)
state-coverage	BLOCKED_ENV_SCREEN_CAPTURE	state-coverage-macos-content.png (preserved)
